onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.175	FIXA	42.2	-65.6	14.4	-63.2	27.862	880.728	162.781	236.674
0.175	0.083	SACC	16.6	-63.2	360.9	-72.6	344.459	509.383	509.383	509.383
0.258	0.058	FIXA	368.0	-72.8	344.3	-85.3	26.798	925.604	691.926	657.715
0.317	0.083	SACC	347.4	-87.0	658.6	-75.9	311.373	848.004	848.004	848.004
0.400	0.346	FIXA	665.2	-74.7	788.2	-80.6	123.177	940.348	326.817	419.667
0.746	0.092	SACC	791.8	-80.3	1472.2	-52.3	680.958	862.566	862.566	862.566
0.838	0.246	FIXA	1481.0	-53.3	1524.2	-96.9	61.327	986.972	438.870	471.050
1.083	0.096	SACC	1527.6	-96.4	686.3	-80.3	841.455	834.825	162.721	191.943
1.179	0.250	FIXA	678.9	-80.0	776.5	-119.8	105.463	954.434	274.612	361.452
1.429	0.092	SACC	772.5	-120.1	413.0	-126.0	359.535	977.816	977.816	960.883
1.521	0.258	FIXA	413.9	-126.1	414.6	-120.4	5.720	724.450	193.596	205.082
1.779	0.058	SACC	415.7	-119.9	855.2	-117.7	439.453	300.562	300.562	300.562
2.708	0.237	SACC	1198.2	-64.5	603.8	-146.2	597.264	931.943	545.991	527.419
2.946	0.033	HPSO	603.4	-146.1	599.9	-144.7	3.741	203.434	107.832	127.681
2.979	0.204	FIXA	598.7	-144.4	1220.1	-112.6	622.167	877.762	245.755	402.932
3.183	0.100	SACC	1217.1	-111.9	361.3	-116.0	855.787	741.730	741.730	741.730
3.283	0.075	FIXA	360.0	-113.6	383.4	-137.0	33.030	964.685	699.985	670.096
3.358	0.079	SACC	381.6	-137.8	141.1	-128.1	240.703	475.926	475.926	475.926
3.438	0.354	FIXA	134.3	-127.7	171.9	-140.3	39.622	880.857	155.608	215.211
3.792	0.071	SACC	169.4	-140.3	-13.8	-153.8	183.669	605.717	605.717	605.717
3.862	0.033	LPSO	-21.4	-154.5	-21.9	-155.1	0.794	927.573	601.249	590.270
3.896	24.508	PURS	-18.2	-155.0	-2773.4	-185.1	2755.404	996.367	185.359	211.965
29.846	0.087	FIXA	-1889.5	-58.3	-1770.3	-61.4	61.019	509.523	509.523	484.870
29.933	0.183	SACC	-1767.5	-61.2	-84.7	38.4	1685.783	669.127	669.127	669.127
30.117	0.075	FIXA	-79.8	44.7	-39.9	-70.7	122.124	942.304	942.304	834.689
30.192	0.021	SACC	-41.8	-67.3	-61.3	-34.1	38.535	995.651	933.716	946.103
30.212	0.192	FIXA	-64.1	-31.3	-69.1	-63.2	32.282	970.493	450.346	508.255
30.404	0.100	SACC	-70.7	-63.4	-446.5	-75.5	376.022	953.796	388.186	409.304
30.504	0.154	FIXA	-445.6	-75.9	-454.5	-86.9	14.133	820.888	286.454	306.903
30.658	0.071	SACC	-457.0	-87.0	-623.0	-80.6	166.091	612.118	612.118	612.118
30.729	0.196	FIXA	-630.8	-80.0	-617.2	-87.8	15.683	943.394	145.012	262.343
30.925	0.071	SACC	-621.0	-87.2	-806.0	-74.2	185.468	938.124	938.124	938.124
30.996	0.046	FIXA	-813.0	-73.5	-808.9	-69.2	5.945	938.124	474.498	606.776
31.042	0.117	SACC	-810.6	-70.5	-123.0	10.0	692.316	526.377	262.086	308.573
31.158	0.162	FIXA	-115.5	10.9	-30.8	-28.6	93.399	931.612	759.865	634.392
31.321	0.075	SACC	-28.5	-28.5	196.9	-7.9	226.305	553.547	553.547	553.547
31.396	0.392	PURS	205.7	-6.8	199.0	-37.8	31.715	872.197	182.569	244.052
31.788	0.058	SACC	195.2	-37.1	83.5	-12.6	114.326	935.264	935.264	935.264
31.846	1.137	FIXA	75.4	-10.7	60.8	-70.3	61.380	982.255	226.073	334.262
32.983	0.054	SACC	62.9	-67.5	35.1	55.2	125.849	839.789	839.789	839.789
33.038	1.171	PURS	33.3	61.6	35.7	-11.6	73.204	999.591	200.503	316.335
34.208	0.067	SACC	39.6	-12.7	196.9	-59.3	164.059	959.632	959.632	959.632
34.275	0.046	FIXA	205.1	-61.1	215.8	-63.9	11.001	959.632	293.480	491.531
34.771	0.037	FIXA	423.6	10.2	414.1	3.9	10.476	650.960	308.140	352.111
34.808	0.104	SACC	410.5	4.0	771.3	-84.8	371.541	860.570	362.151	444.124
34.913	0.075	FIXA	780.0	-85.2	747.9	-87.7	32.162	857.565	750.417	672.284
34.987	0.075	SACC	745.4	-90.5	596.4	-59.9	152.130	893.860	893.860	893.860
35.062	0.304	FIXA	589.2	-57.7	502.8	-86.1	90.952	893.860	373.320	370.949
35.367	0.083	SACC	500.0	-86.3	264.3	-90.8	235.794	681.235	681.235	681.235
35.450	0.487	FIXA	258.8	-89.9	353.8	-100.3	95.516	976.985	239.714	370.806
35.938	0.079	SACC	350.9	-101.1	127.8	-128.2	224.813	701.592	701.592	701.592
36.017	0.163	FIXA	120.9	-128.3	94.1	-106.5	34.513	883.264	262.597	313.517
36.179	0.075	SACC	96.6	-106.1	321.7	-112.2	225.193	597.846	597.846	597.846
