,id,label,start_time,end_time,start_x,start_y,end_x,end_y,amp,peak_vel,med_vel,avg_vel
0,,PURS,0.0,0.3,39.80141866207123,168.4722661972046,32.58495130545617,119.32828939747284,0,52.9525997719751,2.0307784260521284,8.670740722325208
1,863.0,SACC,0.3,0.4,32.26986768114616,119.0460522572013,-52.205258894924285,16.93830031381479,0,348.17151709324025,15.373836259977345,68.61104707857898
2,,PURS,0.4,0.475,-52.44595979787121,16.726584888686194,-65.53140803983914,-50.31931826600326,0,161.90435937716035,11.90136008258555,45.99464702527235
3,0.0,ISAC,0.475,0.49166666666666664,-63.450508621786334,-53.65689025572539,10.814898743392732,-74.95858669281017,0,439.83956978158494,231.11435970344186,231.11435970344186
4,,FIXA,0.49166666666666664,0.5833333333333334,11.931790245444205,-70.87912503311892,22.06773493412357,-20.9030968280451,0,345.1044999070696,7.253842078812614,42.150707084901114
5,704.0,SACC,0.5833333333333334,0.6333333333333333,20.250271964715854,-23.13693175793105,-84.94999153225454,-61.83825836371716,0,207.35196421799,108.9563497876926,109.5997017544217
6,,PURS,0.6333333333333333,1.1666666666666667,-85.18039148229676,-60.35808076931531,-87.83177214003044,-56.36336934744482,0,40.52758332329587,5.256622041382623,7.401150312750285
7,452.0,SACC,1.1666666666666667,1.275,-92.9368477548856,-57.00810227962369,-294.2933591276266,-83.88913108857348,0,199.70716049143343,92.2842400437137,90.83400563884514
8,,PURS,1.275,1.7083333333333333,-294.6724145283789,-84.55897431548739,-386.39708772331255,-105.3072941044201,0,227.36181328034036,9.66598671773169,19.23544814496835
9,347.0,SACC,1.7083333333333333,1.8583333333333334,-380.7577380385173,-102.05971248414728,-3.1967074703926195,-23.330533504486084,0,261.66290304022823,96.09409481591734,128.0328287577051
10,,PURS,1.8583333333333334,2.0,-3.114578410690727,-23.330533504486084,-6.70145058631897,-3.941130638122559,0,22.02227250589124,7.3473802108604,8.852490040977509
11,0.0,ISAC,2.0,2.025,-6.179925327954753,-4.602615740206743,6.734113931655884,-20.98234891891491,0,78.85452293219635,39.94762069443761,41.20000256855608
12,,PURS,2.025,2.6166666666666667,6.733585651310325,-20.98311059319403,-2.593181056807099,-35.48584247447123,0,30.17718876334927,6.480282694350475,7.373094259665276
13,729.0,SACC,2.6166666666666667,2.691666666666667,-3.4944442030678697,-33.8714361190797,-57.14036040152627,-49.98101468772499,0,494.9062869870017,15.52475364338532,76.26810893753243
14,,FIXA,2.691666666666667,2.808333333333333,-56.325825994696416,-49.44091803678109,-6.269790589809418,-25.641009092226312,0,103.74141268440052,10.751730012230281,28.326693077339886
15,1616.0,SACC,2.808333333333333,2.8833333333333333,-9.705067831101433,-27.860140800476188,-86.10130965645145,-46.285595220338855,0,99.97178935242611,54.67621198746909,56.30338542500126
16,,PURS,2.8833333333333333,3.15,-86.33400624990463,-46.66131734848023,-90.03301614522934,-37.49347166002133,0,67.26896359530812,9.51408568268244,13.316452021145988
17,1334.0,SACC,3.15,3.183333333333333,-90.20951065850473,-38.60474155891672,-123.0036919116974,-70.9716796875,0,131.53098829355227,65.15415640065159,67.06038428188478
18,,FIXA,3.183333333333333,3.216666666666667,-123.0036919116974,-70.9716796875,-123.0036919116974,-70.9716796875,0,0.0,0.0,0.0
19,,PURS,3.216666666666667,3.558333333333333,-123.0036919116974,-70.9716796875,-92.59187563352197,-70.10940313339233,0,107.66466870457184,12.768831319199284,17.9690297433511
20,1488.0,SACC,3.558333333333333,3.6,-84.4201398045965,-69.02711959879268,-31.05471143780885,-61.711335182190055,0,134.15893230966512,72.77782567374301,71.16428202696893
21,,FIXA,3.6,3.725,-29.675755620002747,-60.73357721281998,-39.55626419329358,-38.10324369213187,0,35.164821619294614,9.621547659443712,11.62470976094257
22,2121.0,SACC,3.725,3.75,-40.95837811011905,-30.28669268673873,-27.64958482980728,-28.01974243871081,0,87.55975021043429,45.218891397228646,50.68954234216452
23,,PURS,3.75,4.475,-27.900115031761565,-28.93082632587699,-41.53137059231055,-19.35664056313338,0,35.636587743623494,5.983594535220237,8.867847720318675
24,360.0,SACC,4.475,4.566666666666666,-40.82316031972345,-20.380107802032843,165.14203096597694,-21.13677263259888,0,236.98761803170189,91.80521989479288,109.49290737065672
25,,PURS,4.566666666666666,5.108333333333333,164.63260285357242,-20.67182137163662,183.2282181489793,-47.17919978583837,0,42.647998689705794,6.566820881534516,9.515332224167855
26,589.0,SACC,5.108333333333333,5.258333333333334,175.7225370993278,-49.29553106182103,-142.14973934922523,-6.5344584483227495,0,340.4215883897387,82.04014338650363,108.15394192792733
27,,PURS,5.258333333333334,5.566666666666666,-142.77690090732509,-7.004864492523412,-121.70887248015929,-12.214077872595114,0,43.15653937682564,8.716805837454372,11.797873940526229
28,225.0,SACC,5.566666666666666,5.633333333333334,-122.67791349228932,-21.783806164403373,-389.3253134831582,-32.181702834625135,0,527.7342797040553,182.25527125852915,205.71279645482622
29,,PURS,5.633333333333334,6.125,-387.597594988637,-31.31172726064609,-418.0178937435553,-33.89017415523435,0,81.20740759532127,10.757833664495736,15.414404091809725
30,1898.0,SACC,6.125,6.141666666666667,-417.9006391279284,-40.41409911534416,-417.8805271970561,-64.40867447522842,0,134.60466446341422,85.60914704573898,85.60914704573898
31,,PURS,6.141666666666667,6.216666666666667,-417.65146926009,-64.66970443725586,-383.65904914737234,-64.66970443725586,0,49.03548549122355,18.156999577840256,21.14438481041307
32,302.0,SACC,6.216666666666667,6.258333333333334,-373.0457304092872,-64.66970443725586,-160.80809396505356,-32.204568386077995,0,636.8007054350933,58.98246758013161,263.76198496954464
33,,PURS,6.258333333333334,6.333333333333333,-160.42037407619617,-32.204568386077995,-153.80892968177795,-20.20563684750472,0,34.704581918443495,5.526334042130978,13.400148168753761
34,0.0,ISAC,6.333333333333333,6.375,-153.83724106574076,-18.65263592860378,-161.8259823322296,-10.241151419791954,0,40.76461147762363,8.828728941986729,16.124702637353614
35,,PURS,6.375,6.508333333333334,-161.71906880114506,-10.235381126403809,-161.41486082345037,-11.24547026536618,0,12.9736480935673,3.171205274601249,4.626807740257371
36,1412.0,SACC,6.508333333333334,6.541666666666667,-161.21816932941553,-12.647168241350592,-125.42177003622056,4.3109438687868,0,224.9714856880767,5.360829767429359,58.9514952764194
37,,PURS,6.541666666666667,6.716666666666667,-125.4487779133906,5.858945846557617,-54.17850759742422,15.62368869781494,0,227.83521151249087,20.47338916162426,33.39989805783726
38,645.0,SACC,6.716666666666667,6.775,-46.93770186360925,15.62368869781494,57.8779247340337,-30.23357391357422,0,192.1144258071955,92.63007616071052,103.49160762390113
39,,PURS,6.775,7.133333333333334,64.71050663765438,-30.11368733271214,65.47394838961306,-13.328397274017334,0,54.136017613148326,7.150383234152849,10.939534648407
40,,FIXA,7.133333333333334,7.2,65.58219899077511,-13.328397274017334,66.1383540503539,-13.953101634979362,0,1.2008070482753708,0.6319373923857365,0.7258570356605126
41,307.0,SACC,7.95,8.041666666666666,-24.80006192524746,-12.745061221219451,-243.63151128097184,4.473210130285812,0,218.48544339777004,101.50395603885046,119.12511497894657
42,,PURS,8.041666666666666,8.483333333333333,-246.3892318564292,8.670001654646628,-282.153269365934,-16.439009082266374,0,82.2827110819018,9.073828259029163,12.948906463275762
43,997.0,SACC,8.483333333333333,8.533333333333333,-286.7315951062884,-10.199832916259766,-404.77985879965087,-3.115506825326141,0,236.884341647949,105.44939952440174,117.56455154110857
44,,PURS,8.533333333333333,8.641666666666667,-405.3268153435138,-0.575015351891574,-400.2839137950661,21.405214550973085,0,59.84107945060936,26.330165362253837,28.87152963857227
